Year,Âge au décès,Sexe,Causes of death,Value
2015,35 à 44 ans,Hommes,Acute bronchitis and bronchiolitis,0.0
2015,35 à 44 ans,Hommes,Maladies chroniques des voies respiratoires inférieures,0.4
2015,35 à 44 ans,Femmes,Tumeurs malignes,27.4
2015,35 à 44 ans,Femmes,"Tumeurs in situ, tumeurs bénignes et tumeurs à évolution imprévisible ou inconnue",0.3
2015,35 à 44 ans,Femmes,Diabète sucré,1.3
2015,35 à 44 ans,Femmes,Maladies du coeur,5.3
2015,35 à 44 ans,Femmes,Grippe et pneumopathie,1.0
2015,35 à 44 ans,Femmes,Acute bronchitis and bronchiolitis,0.0
2015,35 à 44 ans,Femmes,Maladies chroniques des voies respiratoires inférieures,0.8
2015,35 à 39 ans,Les deux sexes,Tumeurs malignes,17.0
2015,35 à 39 ans,Les deux sexes,"Tumeurs in situ, tumeurs bénignes et tumeurs à évolution imprévisible ou inconnue",0.3
2015,35 à 39 ans,Les deux sexes,Diabète sucré,1.6
2015,35 à 39 ans,Les deux sexes,Maladies du coeur,6.2
2015,35 à 39 ans,Les deux sexes,Grippe et pneumopathie,0.9
2015,35 à 39 ans,Les deux sexes,Acute bronchitis and bronchiolitis,0.0
2015,35 à 39 ans,Les deux sexes,Maladies chroniques des voies respiratoires inférieures,0.7
2015,35 à 39 ans,Hommes,Tumeurs malignes,14.7
2015,35 à 39 ans,Hommes,"Tumeurs in situ, tumeurs bénignes et tumeurs à évolution imprévisible ou inconnue",0.5
2015,35 à 39 ans,Hommes,Diabète sucré,2.1
2015,35 à 39 ans,Hommes,Maladies du coeur,9.2
2015,35 à 39 ans,Hommes,Grippe et pneumopathie,1.2
2015,35 à 39 ans,Hommes,Acute bronchitis and bronchiolitis,0.0
2015,35 à 39 ans,Hommes,Maladies chroniques des voies respiratoires inférieures,0.4
2015,35 à 39 ans,Femmes,Tumeurs malignes,19.3
2015,35 à 39 ans,Femmes,"Tumeurs in situ, tumeurs bénignes et tumeurs à évolution imprévisible ou inconnue",0.1
2015,35 à 39 ans,Femmes,Diabète sucré,1.1
2015,35 à 39 ans,Femmes,Maladies du coeur,3.2
2015,35 à 39 ans,Femmes,Grippe et pneumopathie,0.7
2015,35 à 39 ans,Femmes,Acute bronchitis and bronchiolitis,0.0
2015,35 à 39 ans,Femmes,Maladies chroniques des voies respiratoires inférieures,0.9
2015,40 à 44 ans,Les deux sexes,Tumeurs malignes,30.3
2015,40 à 44 ans,Les deux sexes,"Tumeurs in situ, tumeurs bénignes et tumeurs à évolution imprévisible ou inconnue",0.6
2015,40 à 44 ans,Les deux sexes,Diabète sucré,2.8
2015,40 à 44 ans,Les deux sexes,Maladies du coeur,13.3
2015,40 à 44 ans,Les deux sexes,Grippe et pneumopathie,1.4
2015,40 à 44 ans,Les deux sexes,Acute bronchitis and bronchiolitis,0.0
2015,40 à 44 ans,Les deux sexes,Maladies chroniques des voies respiratoires inférieures,0.6
2015,40 à 44 ans,Hommes,Tumeurs malignes,24.8
2015,40 à 44 ans,Hommes,"Tumeurs in situ, tumeurs bénignes et tumeurs à évolution imprévisible ou inconnue",0.6
2015,40 à 44 ans,Hommes,Diabète sucré,4.1
2015,40 à 44 ans,Hommes,Maladies du coeur,19.2
2015,40 à 44 ans,Hommes,Grippe et pneumopathie,1.5
2015,40 à 44 ans,Hommes,Acute bronchitis and bronchiolitis,0.0
2015,40 à 44 ans,Hommes,Maladies chroniques des voies respiratoires inférieures,0.4
2015,40 à 44 ans,Femmes,Tumeurs malignes,35.8
2015,40 à 44 ans,Femmes,"Tumeurs in situ, tumeurs bénignes et tumeurs à évolution imprévisible ou inconnue",0.5
2015,40 à 44 ans,Femmes,Diabète sucré,1.5
2015,40 à 44 ans,Femmes,Maladies du coeur,7.5
2015,40 à 44 ans,Femmes,Grippe et pneumopathie,1.3
2015,40 à 44 ans,Femmes,Acute bronchitis and bronchiolitis,0.0
2015,40 à 44 ans,Femmes,Maladies chroniques des voies respiratoires inférieures,0.7
2015,45 à 54 ans,Les deux sexes,Tumeurs malignes,86.9
2015,45 à 54 ans,Les deux sexes,"Tumeurs in situ, tumeurs bénignes et tumeurs à évolution imprévisible ou inconnue",0.9
2015,45 à 54 ans,Les deux sexes,Diabète sucré,6.3
2015,45 à 54 ans,Les deux sexes,Maladies du coeur,35.9
2015,45 à 54 ans,Les deux sexes,Grippe et pneumopathie,2.9
2015,45 à 54 ans,Les deux sexes,Acute bronchitis and bronchiolitis,0.0
2015,45 à 54 ans,Les deux sexes,Maladies chroniques des voies respiratoires inférieures,3.9
2015,45 à 54 ans,Hommes,Tumeurs malignes,80.2
2015,45 à 54 ans,Hommes,"Tumeurs in situ, tumeurs bénignes et tumeurs à évolution imprévisible ou inconnue",0.8
2015,45 à 54 ans,Hommes,Diabète sucré,8.4
2015,45 à 54 ans,Hommes,Maladies du coeur,55.0
2015,45 à 54 ans,Hommes,Grippe et pneumopathie,3.0
2015,45 à 54 ans,Hommes,Acute bronchitis and bronchiolitis,0.0
2015,45 à 54 ans,Hommes,Maladies chroniques des voies respiratoires inférieures,4.0
2015,45 à 54 ans,Femmes,Tumeurs malignes,93.6
2015,45 à 54 ans,Femmes,"Tumeurs in situ, tumeurs bénignes et tumeurs à évolution imprévisible ou inconnue",0.9
2015,45 à 54 ans,Femmes,Diabète sucré,4.1
2015,45 à 54 ans,Femmes,Maladies du coeur,16.8
2015,45 à 54 ans,Femmes,Grippe et pneumopathie,2.8
2015,45 à 54 ans,Femmes,Acute bronchitis and bronchiolitis,0.0
2015,45 à 54 ans,Femmes,Maladies chroniques des voies respiratoires inférieures,3.9
2015,45 à 49 ans,Les deux sexes,Tumeurs malignes,56.8
2015,45 à 49 ans,Les deux sexes,"Tumeurs in situ, tumeurs bénignes et tumeurs à évolution imprévisible ou inconnue",0.6
2015,45 à 49 ans,Les deux sexes,Diabète sucré,4.6
2015,45 à 49 ans,Les deux sexes,Maladies du coeur,23.8
2015,45 à 49 ans,Les deux sexes,Grippe et pneumopathie,2.3
2015,45 à 49 ans,Les deux sexes,Acute bronchitis and bronchiolitis,0.0
2015,45 à 49 ans,Les deux sexes,Maladies chroniques des voies respiratoires inférieures,2.1
2015,45 à 49 ans,Hommes,Tumeurs malignes,50.7
2015,45 à 49 ans,Hommes,"Tumeurs in situ, tumeurs bénignes et tumeurs à évolution imprévisible ou inconnue",0.5
2015,45 à 49 ans,Hommes,Diabète sucré,5.9
2015,45 à 49 ans,Hommes,Maladies du coeur,37.3
2015,45 à 49 ans,Hommes,Grippe et pneumopathie,2.8
2015,45 à 49 ans,Hommes,Acute bronchitis and bronchiolitis,0.0
2015,45 à 49 ans,Hommes,Maladies chroniques des voies respiratoires inférieures,1.8
2015,45 à 49 ans,Femmes,Tumeurs malignes,62.9
2015,45 à 49 ans,Femmes,"Tumeurs in situ, tumeurs bénignes et tumeurs à évolution imprévisible ou inconnue",0.7
2015,45 à 49 ans,Femmes,Diabète sucré,3.2
2015,45 à 49 ans,Femmes,Maladies du coeur,10.4
2015,45 à 49 ans,Femmes,Grippe et pneumopathie,1.9
2015,45 à 49 ans,Femmes,Acute bronchitis and bronchiolitis,0.1
2015,45 à 49 ans,Femmes,Maladies chroniques des voies respiratoires inférieures,2.5
2015,50 à 54 ans,Les deux sexes,Tumeurs malignes,113.3
2015,50 à 54 ans,Les deux sexes,"Tumeurs in situ, tumeurs bénignes et tumeurs à évolution imprévisible ou inconnue",1.1
2015,50 à 54 ans,Les deux sexes,Diabète sucré,7.7
2015,50 à 54 ans,Les deux sexes,Maladies du coeur,46.6
2015,50 à 54 ans,Les deux sexes,Grippe et pneumopathie,3.4
2015,50 à 54 ans,Les deux sexes,Acute bronchitis and bronchiolitis,0.0
2015,50 à 54 ans,Les deux sexes,Maladies chroniques des voies respiratoires inférieures,5.5
2015,50 à 54 ans,Hommes,Tumeurs malignes,106.1
2015,50 à 54 ans,Hommes,"Tumeurs in situ, tumeurs bénignes et tumeurs à évolution imprévisible ou inconnue",1.1
2015,50 à 54 ans,Hommes,Diabète sucré,10.5
2015,50 à 54 ans,Hommes,Maladies du coeur,70.5
2015,50 à 54 ans,Hommes,Grippe et pneumopathie,3.2
2015,50 à 54 ans,Hommes,Acute bronchitis and bronchiolitis,0.0
2015,50 à 54 ans,Hommes,Maladies chroniques des voies respiratoires inférieures,5.8
2015,50 à 54 ans,Femmes,Tumeurs malignes,120.6
2015,50 à 54 ans,Femmes,"Tumeurs in situ, tumeurs bénignes et tumeurs à évolution imprévisible ou inconnue",1.1
2015,50 à 54 ans,Femmes,Diabète sucré,4.9
2015,50 à 54 ans,Femmes,Maladies du coeur,22.5
2015,50 à 54 ans,Femmes,Grippe et pneumopathie,3.6
2015,50 à 54 ans,Femmes,Acute bronchitis and bronchiolitis,0.0
2015,50 à 54 ans,Femmes,Maladies chroniques des voies respiratoires inférieures,5.1
2015,55 à 64 ans,Les deux sexes,Tumeurs malignes,273.4
